distrito_codigo,distrito_nombre,anio,precio_alquiler_eur_m2_mes
01,Centro,2007,18.0
01,Centro,2008,17.24
01,Centro,2009,15.7
01,Centro,2010,15.3675
01,Centro,2011,15.01
01,Centro,2012,14.34
01,Centro,2013,13.5175
01,Centro,2014,13.5275
01,Centro,2015,14.335
01,Centro,2016,16.62
02,Arganzuela,2007,13.5
02,Arganzuela,2008,13.38
02,Arganzuela,2009,12.72
02,Arganzuela,2010,12.2775
02,Arganzuela,2011,11.92
02,Arganzuela,2012,11.475
02,Arganzuela,2013,11.0075
02,Arganzuela,2014,10.8425
02,Arganzuela,2015,11.5525
02,Arganzuela,2016,12.7575
03,Retiro,2007,14.0
03,Retiro,2008,14.105
03,Retiro,2009,12.685
03,Retiro,2010,12.2675
03,Retiro,2011,12.7
03,Retiro,2012,12.27
03,Retiro,2013,11.43
03,Retiro,2014,11.5875
03,Retiro,2015,12.4625
03,Retiro,2016,14.015
04,Salamanca,2007,16.0
04,Salamanca,2008,16.6
04,Salamanca,2009,15.17
04,Salamanca,2010,14.7475
04,Salamanca,2011,14.86
04,Salamanca,2012,14.315
04,Salamanca,2013,13.4875
04,Salamanca,2014,13.6825
04,Salamanca,2015,14.31
04,Salamanca,2016,16.01
05,Chamartín,2007,14.5
05,Chamartín,2008,14.755
05,Chamartín,2009,13.945
05,Chamartín,2010,13.675
05,Chamartín,2011,13.5275
05,Chamartín,2012,12.9325
05,Chamartín,2013,12.29
05,Chamartín,2014,12.275
05,Chamartín,2015,12.775
05,Chamartín,2016,13.945
06,Tetuán,2007,12.5
06,Tetuán,2008,12.955
06,Tetuán,2009,12.175
06,Tetuán,2010,11.795
06,Tetuán,2011,11.5125
06,Tetuán,2012,11.23
06,Tetuán,2013,10.93
06,Tetuán,2014,11.1725
06,Tetuán,2015,12.0575
06,Tetuán,2016,13.655
07,Chamberí,2007,15.5
07,Chamberí,2008,15.84
07,Chamberí,2009,14.8
07,Chamberí,2010,14.335
07,Chamberí,2011,14.08
07,Chamberí,2012,13.6775
07,Chamberí,2013,13.005
07,Chamberí,2014,13.3175
07,Chamberí,2015,13.935
07,Chamberí,2016,15.7875
08,Fuencarral-El Pardo,2007,10.5
08,Fuencarral-El Pardo,2008,11.63
08,Fuencarral-El Pardo,2009,10.8
08,Fuencarral-El Pardo,2010,10.6475
