barrio_codigo,anio,precio_eur_m2,n_subzonas
011,2001,2610.0,1
011,2002,3279.0,1
011,2003,3605.0,1
011,2004,4128.0,1
011,2005,4503.0,1
011,2006,4555.0,1
011,2007,4807.0,1
011,2008,4544.0,1
011,2009,4239.0,1
011,2010,4113.0,1
011,2011,3850.0,1
011,2012,3519.0,1
011,2013,3397.0,1
011,2014,3369.0,1
011,2015,3682.0,1
011,2016,3731.0,1
012,2001,2107.0,1
012,2002,2715.0,1
012,2003,3022.0,1
012,2004,3401.0,1
012,2005,3852.0,1
012,2006,4252.0,1
012,2007,4394.0,1
012,2008,3782.0,1
012,2009,3601.0,1
012,2010,3489.0,1
012,2011,3215.0,1
012,2012,2721.0,1
012,2013,2897.0,1
012,2014,2697.0,1
012,2015,3000.0,1
012,2016,3240.0,1
013,2001,2611.0,1
013,2002,3070.0,1
013,2003,3683.0,1
013,2004,4107.0,1
013,2005,4610.0,1
013,2006,4858.0,1
013,2007,4922.0,1
013,2008,4401.0,1
013,2009,4101.0,1
013,2010,4272.0,1
013,2011,4043.0,1
013,2012,3715.0,1
013,2013,3358.0,1
013,2014,3541.0,1
013,2015,3714.0,1
013,2016,3616.0,1
014,2001,2496.0,1
014,2002,3103.0,1
014,2003,3736.0,1
014,2004,4151.0,1
014,2005,4396.0,1
014,2006,4967.0,1
014,2007,5027.0,1
014,2008,4992.0,1
014,2009,4915.0,1
014,2010,4653.0,1
014,2011,4539.0,1
014,2012,4007.0,1
014,2013,3969.0,1
014,2014,3902.0,1
014,2015,4326.0,1
014,2016,4612.0,1
015,2001,2317.0,1
015,2002,2870.0,1
015,2003,3352.0,1
015,2004,3857.0,1
015,2005,4337.0,1
015,2006,4602.0,1
015,2007,4747.0,1
015,2008,4263.0,1
015,2009,4006.0,1
015,2010,3953.0,1
015,2011,3604.0,1
015,2012,3230.0,1
015,2013,3297.0,1
015,2014,3199.0,1
015,2015,3476.0,1
015,2016,3845.0,1
016,2001,2450.0,1
016,2002,3108.0,1
016,2003,3502.0,1
016,2004,4029.0,1
016,2005,4591.0,1
016,2006,4627.0,1
016,2007,4876.0,1
016,2008,4465.0,1
016,2009,4091.0,1
016,2010,4183.0,1
016,2011,3921.0,1
016,2012,3517.0,1
016,2013,3445.0,1
016,2014,3419.0,1
016,2015,3716.0,1
016,2016,3788.0,1
021,2001,2264.0,1
021,2002,2934.0,1
021,2003,3591.0,1
021,2004,3507.0,1
021,2005,3711.0,1
021,2006,4254.0,1
021,2007,4240.0,1
021,2008,3723.0,1
021,2009,3541.0,1
021,2010,3352.0,1
021,2011,3104.0,1
021,2012,2816.0,1
021,2013,2752.0,1
021,2014,2731.0,1
021,2015,2697.0,1
021,2016,2920.0,1
022,2001,2237.0,1
022,2002,2993.0,1
022,2003,3506.0,1
022,2004,3793.0,1
022,2005,4178.0,1
022,2006,4453.0,1
022,2007,4309.0,1
022,2008,3940.0,1
022,2009,3743.0,1
022,2010,3588.0,1
022,2011,3365.0,1
022,2012,2957.0,1
022,2013,2918.0,1
022,2014,2804.0,1
022,2015,2966.0,1
022,2016,3193.0,1
023,2001,1939.0,1
023,2002,2576.0,1
023,2003,3222.0,1
023,2004,3434.0,1
023,2005,3680.0,1
023,2006,3972.0,1
023,2007,3942.0,1
023,2008,3503.0,1
023,2009,3316.0,1
023,2010,3123.0,1
023,2011,2894.0,1
023,2012,2379.0,1
023,2013,2267.0,1
023,2014,2190.0,1
023,2015,2355.0,1
023,2016,2649.0,1
024,2001,2313.0,1
024,2002,2714.0,1
024,2003,3320.0,1
024,2004,3714.0,1
024,2005,4083.0,1
024,2006,4251.0,1
024,2007,4261.0,1
024,2008,3916.0,1
024,2009,3988.0,1
024,2010,4010.0,1
024,2011,3847.0,1
024,2012,3428.0,1
024,2013,3428.0,1
024,2014,3307.0,1
024,2015,3349.0,1
024,2016,3395.0,1
025,2001,2254.0,1
025,2002,3008.0,1
025,2003,3279.0,1
025,2004,3751.0,1
025,2005,3882.0,1
025,2006,4295.0,1
025,2007,4138.0,1
025,2008,3820.0,1
025,2009,3497.0,1
025,2010,3375.0,1
025,2011,3206.0,1
025,2012,2825.0,1
025,2013,2710.0,1
025,2014,2564.0,1
025,2015,2592.0,1
025,2016,3025.0,1
026,2002,2783.0,1
026,2003,3297.0,1
026,2004,3497.0,1
026,2005,3945.0,1
026,2006,4246.0,1
026,2007,4083.0,1
026,2008,3809.0,1
026,2009,3477.0,1
026,2010,3595.0,1
026,2011,3241.0,1
026,2012,2831.0,1
026,2013,2800.0,1
026,2014,2529.0,1
026,2015,2725.0,1
026,2016,2976.0,1
027,2001,2312.0,1
031,2001,2458.0,1
031,2002,3134.0,1
031,2003,3774.0,1
031,2004,3853.0,1
031,2005,4142.0,1
031,2006,4431.0,1
031,2007,4490.0,1
031,2008,3978.0,1
031,2009,3854.0,1
031,2010,3789.0,1
031,2011,3506.0,1
031,2012,3061.0,1
031,2013,2821.0,1
031,2014,2758.0,1
031,2015,2943.0,1
031,2016,3084.0,1
032,2001,2435.0,1
032,2002,2709.0,1
032,2003,3561.0,1
032,2004,3669.0,1
032,2005,3945.0,1
032,2006,4436.0,1
032,2007,4555.0,1
032,2008,4050.0,1
032,2009,3834.0,1
032,2010,3677.0,1
032,2011,3420.0,1
032,2012,2991.0,1
032,2013,2696.0,1
032,2014,2686.0,1
032,2015,2941.0,1
032,2016,3180.0,1
033,2001,2485.0,1
033,2002,2937.0,1
033,2003,3280.0,1
033,2004,3815.0,1
033,2005,4016.0,1
033,2006,4339.0,1
033,2007,4523.0,1
033,2008,4066.0,1
033,2009,3950.0,1
033,2010,3817.0,1
033,2011,3595.0,1
033,2012,3111.0,1
033,2013,2847.0,1
033,2014,2831.0,1
033,2015,3083.0,1
033,2016,3003.0,1
034,2001,2726.0,1
034,2002,3374.0,1
034,2003,4201.0,1
034,2004,4515.0,1
034,2005,4582.0,1
034,2006,4991.0,1
034,2007,4953.0,1
034,2008,4759.0,1
034,2009,4622.0,1
034,2010,4253.0,1
034,2011,4130.0,1
034,2012,3605.0,1
034,2013,3478.0,1
034,2014,3595.0,1
034,2015,3756.0,1
034,2016,3939.0,1
035,2001,3442.0,1
035,2002,4640.0,1
035,2003,4665.0,1
035,2004,4595.0,1
035,2005,5190.0,1
035,2006,5795.0,1
035,2007,5790.0,1
